postal_code,latitude,longitude,age_group_0,age_group_1,age_group_2,age_group_3,gender_0,gender_1,education_0,education_1,education_2,education_3,education_4,education_5,income_0,income_1,income_2,income_3,income_4,income_5,c_local_y,c_local_n,c_global_y,c_global_n,informed_y,informed_n
M1P,43.759856691729325,-79.27065879699248,1,2,1,0,2,2,1,0,0,1,1,1,2,0,1,0,1,0,2,2,2,2,3,1
M1P,43.759856691729325,-79.27065879699248,1,2,1,0,2,2,1,0,0,1,1,1,2,0,1,0,1,0,2,2,2,2,3,1
M1P,43.759856691729325,-79.27065879699248,1,2,1,0,2,2,1,0,0,1,1,1,2,0,1,0,1,0,2,2,2,2,3,1
M1P,43.759856691729325,-79.27065879699248,1,2,1,0,2,2,1,0,0,1,1,1,2,0,1,0,1,0,2,2,2,2,3,1
M1R,43.749765967016494,-79.30276491754123,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,1,1,1,1
M1R,43.749765967016494,-79.30276491754123,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,1,1,1,1
M1S,43.7938,-79.26925745937962,3,0,0,2,4,1,1,1,0,1,2,0,2,0,1,2,0,0,0,5,0,5,4,1
M1S,43.7938,-79.26925745937962,3,0,0,2,4,1,1,1,0,1,2,0,2,0,1,2,0,0,0,5,0,5,4,1
M1S,43.7938,-79.26925745937962,3,0,0,2,4,1,1,1,0,1,2,0,2,0,1,2,0,0,0,5,0,5,4,1
M1S,43.7938,-79.26925745937962,3,0,0,2,4,1,1,1,0,1,2,0,2,0,1,2,0,0,0,5,0,5,4,1
M1S,43.7938,-79.26925745937962,3,0,0,2,4,1,1,1,0,1,2,0,2,0,1,2,0,0,0,5,0,5,4,1
M1T,43.781439285714285,-79.30375420168068,1,1,3,1,4,2,1,1,0,0,0,4,2,0,0,1,2,1,5,1,5,1,4,2
M1T,43.781439285714285,-79.30375420168068,1,1,3,1,4,2,1,1,0,0,0,4,2,0,0,1,2,1,5,1,5,1,4,2
M1T,43.781439285714285,-79.30375420168068,1,1,3,1,4,2,1,1,0,0,0,4,2,0,0,1,2,1,5,1,5,1,4,2
M1T,43.781439285714285,-79.30375420168068,1,1,3,1,4,2,1,1,0,0,0,4,2,0,0,1,2,1,5,1,5,1,4,2
M1T,43.781439285714285,-79.30375420168068,1,1,3,1,4,2,1,1,0,0,0,4,2,0,0,1,2,1,5,1,5,1,4,2
M1T,43.781439285714285,-79.30375420168068,1,1,3,1,4,2,1,1,0,0,0,4,2,0,0,1,2,1,5,1,5,1,4,2
M1V,43.817141327913276,-79.28235054200542,0,1,1,1,2,1,0,0,1,0,1,1,1,1,0,0,1,0,2,1,0,3,1,2
M1V,43.817141327913276,-79.28235054200542,0,1,1,1,2,1,0,0,1,0,1,1,1,1,0,0,1,0,2,1,0,3,1,2
