postal_code,gender,age,concern_local,concern_global,information,education,income,concerned_local_binary,concerned_global_binary,informed_binary
M9v,Woman,24,Extremely concerned,Extremely concerned,Extremely informed,"Completed community college, vocational, trade school","$100,001 to $150,000",TRUE,TRUE,TRUE
M1W,Man,33,Not very concerned,Extremely concerned,Very informed,Completed undergraduate degree,"More than $150,000",FALSE,TRUE,TRUE
M2L,Woman,23,Donâ€™t know,Donâ€™t know,Very informed,Completed undergraduate degree,"Under $40,000",NA,NA,TRUE
M1N,Man,33,Extremely concerned,Extremely concerned,Very informed,Some university,"$100,001 to $150,000",TRUE,TRUE,TRUE
m3h,Man,70,Donâ€™t know,Donâ€™t know,Not at all informed,Some university,"$60,001 to $80,000",NA,NA,FALSE
M1b,Woman,29,Extremely concerned,Extremely concerned,Not very informed,Some university,"$100,001 to $150,000",TRUE,TRUE,FALSE
m9b,Man,54,Very concerned,Extremely concerned,Very informed,Post graduate/professional school,"$100,001 to $150,000",TRUE,TRUE,TRUE
M6S,Woman,25,Not very concerned,Extremely concerned,Extremely informed,Post graduate/professional school,"$60,001 to $80,000",FALSE,TRUE,TRUE
M6M,Woman,33,Not very concerned,Not very concerned,Not very informed,High school or less,"Under $40,000",FALSE,FALSE,FALSE
M1P,Woman,27,Very concerned,Very concerned,Very informed,Post graduate/professional school,"Under $40,000",TRUE,TRUE,TRUE
M1E,Man,18,Not very concerned,Very concerned,Extremely informed,High school or less,"$60,001 to $80,000",FALSE,TRUE,TRUE
m1g,Man,31,Not very concerned,Not very concerned,Very informed,High school or less,Prefer not to answer,FALSE,FALSE,TRUE
M3H,Man,29,Extremely concerned,Very concerned,Extremely informed,"Completed community college, vocational, trade school","Under $40,000",TRUE,TRUE,TRUE
M2r,Man,34,Very concerned,Very concerned,Very informed,Post graduate/professional school,"$100,001 to $150,000",TRUE,TRUE,TRUE
m6e,Woman,35,Extremely concerned,Not very concerned,Extremely informed,"Some community college, vocational, trade school","$80,001 to $100,000",TRUE,FALSE,TRUE
M1T,Man,32,Extremely concerned,Extremely concerned,Very informed,Post graduate/professional school,"$100,001 to $150,000",TRUE,TRUE,TRUE
M9V,Woman,31,Very concerned,Extremely concerned,Very informed,Post graduate/professional school,Prefer not to answer,TRUE,TRUE,TRUE
m4g,Woman,25,Very concerned,Extremely concerned,Extremely informed,Post graduate/professional school,"More than $150,000",TRUE,TRUE,TRUE
M2N,Woman,55,Very concerned,Very concerned,Very informed,Post graduate/professional school,"More than $150,000",TRUE,TRUE,TRUE
M6E,Man,29,Very concerned,Extremely concerned,Very informed,Post graduate/professional school,"$60,001 to $80,000",TRUE,TRUE,TRUE
M9C,Man,28,Not very concerned,Not very concerned,Very informed,Completed undergraduate degree,"$100,001 to $150,000",FALSE,FALSE,TRUE
M4K,Woman,57,Very concerned,Extremely concerned,Not very informed,Completed undergraduate degree,Prefer not to answer,TRUE,TRUE,FALSE
M8v,Man,30,Very concerned,Extremely concerned,Extremely informed,Post graduate/professional school,"Under $40,000",TRUE,TRUE,TRUE
m2m,Man,107,Very concerned,Very concerned,Very informed,Some university,"$80,001 to $100,000",TRUE,TRUE,TRUE
m9m,Woman,30,Extremely concerned,Extremely concerned,Extremely informed,Post graduate/professional school,"$80,001 to $100,000",TRUE,TRUE,TRUE
m5t,Man,29,Not very concerned,Very concerned,Not very informed,"Some community college, vocational, trade school","$60,001 to $80,000",FALSE,TRUE,FALSE
m1j,Man,41,Extremely concerned,Very concerned,Very informed,Completed undergraduate degree,"$40,001 to $60,000",TRUE,TRUE,TRUE
m6l,Woman,19,Extremely concerned,Extremely concerned,Not very informed,"Some community college, vocational, trade school","Under $40,000",TRUE,TRUE,FALSE
