postal_code,gender,age_group,education_group,income_group,concerned_local_binary,concerned_global_binary,informed_binary,latitude,longitude
M6M,Man,1,3,2,TRUE,TRUE,FALSE,43.692451457725944,-79.48036209912536
M6M,Man,3,3,1,TRUE,TRUE,TRUE,43.692451457725944,-79.48036209912536
M6M,Man,2,0,2,TRUE,TRUE,TRUE,43.692451457725944,-79.48036209912536
M6M,Woman,2,2,0,TRUE,TRUE,FALSE,43.692451457725944,-79.48036209912536
M6N,Woman,1,4,2,TRUE,TRUE,TRUE,43.675979015918955,-79.47841664254703
M6N,Woman,0,4,3,FALSE,FALSE,TRUE,43.675979015918955,-79.47841664254703
M6N,Man,1,2,1,TRUE,TRUE,FALSE,43.675979015918955,-79.47841664254703
M6N,Man,2,2,1,FALSE,FALSE,TRUE,43.675979015918955,-79.47841664254703
M6N,Man,1,4,5,TRUE,TRUE,TRUE,43.675979015918955,-79.47841664254703
M6P,Woman,2,1,3,TRUE,TRUE,FALSE,43.66061819923372,-79.46277662835249
M6P,Man,1,5,4,TRUE,TRUE,TRUE,43.66061819923372,-79.46277662835249
M6P,Man,2,4,0,FALSE,TRUE,FALSE,43.66061819923372,-79.46277662835249
M6P,Woman,1,5,4,TRUE,TRUE,TRUE,43.66061819923372,-79.46277662835249
M6R,Man,2,4,3,TRUE,TRUE,FALSE,43.64681527377522,-79.44902536023055
M6S,Woman,3,5,0,TRUE,TRUE,TRUE,43.65358847926267,-79.48377465437788
M6S,Woman,0,5,2,FALSE,TRUE,TRUE,43.65358847926267,-79.48377465437788
M6S,Woman,0,5,4,TRUE,TRUE,FALSE,43.65358847926267,-79.48377465437788
M6S,Woman,2,3,3,TRUE,TRUE,TRUE,43.65358847926267,-79.48377465437788
M6S,Man,1,4,4,TRUE,TRUE,TRUE,43.65358847926267,-79.48377465437788
M6S,Man,1,0,1,TRUE,TRUE,TRUE,43.65358847926267,-79.48377465437788
M6S,Woman,3,5,5,TRUE,TRUE,TRUE,43.65358847926267,-79.48377465437788
M8V,Man,0,5,0,TRUE,TRUE,TRUE,43.60713299595142,-79.49970870445344
M8V,Woman,3,5,5,TRUE,TRUE,TRUE,43.60713299595142,-79.49970870445344
M8V,Woman,2,0,0,TRUE,TRUE,TRUE,43.60713299595142,-79.49970870445344
M8V,Man,2,5,3,TRUE,TRUE,TRUE,43.60713299595142,-79.49970870445344
M8V,Woman,1,5,4,TRUE,TRUE,TRUE,43.60713299595142,-79.49970870445344
M8X,Man,3,4,4,TRUE,TRUE,TRUE,43.652589206349205,-79.51028603174603
M8X,Woman,0,4,5,TRUE,TRUE,TRUE,43.652589206349205,-79.51028603174603
M8X,Woman,2,3,3,TRUE,TRUE,FALSE,43.652589206349205,-79.51028603174603
M8X,Man,1,3,1,TRUE,TRUE,TRUE,43.652589206349205,-79.51028603174603
M8X,Man,3,4,3,TRUE,TRUE,FALSE,43.652589206349205,-79.51028603174603
M8Y,Woman,0,4,3,TRUE,TRUE,TRUE,43.633835401459855,-79.49728375912409
M8Y,Man,1,4,5,TRUE,TRUE,FALSE,43.633835401459855,-79.49728375912409
M8Y,Woman,1,5,2,TRUE,TRUE,TRUE,43.633835401459855,-79.49728375912409
M8Z,Man,1,4,2,TRUE,TRUE,FALSE,43.629395088676674,-79.51791950886766
M9A,Woman,0,5,3,TRUE,TRUE,TRUE,43.664903851444294,-79.52885887207702
M9A,Woman,2,5,5,TRUE,TRUE,TRUE,43.664903851444294,-79.52885887207702
M9A,Woman,2,5,5,TRUE,TRUE,TRUE,43.664903851444294,-79.52885887207702
M9B,Man,2,5,4,TRUE,TRUE,TRUE,43.65269844444445,-79.55209455555556
M9B,Man,2,4,5,FALSE,FALSE,TRUE,43.65269844444445,-79.55209455555556
M9B,Man,1,4,5,TRUE,TRUE,TRUE,43.65269844444445,-79.55209455555556
M9C,Man,0,4,4,TRUE,TRUE,TRUE,43.64515223274695,-79.5740550744249
M9C,Man,0,4,4,FALSE,FALSE,TRUE,43.64515223274695,-79.5740550744249
M9C,Woman,2,4,3,TRUE,TRUE,TRUE,43.64515223274695,-79.5740550744249
M9C,Woman,3,4,1,TRUE,TRUE,TRUE,43.64515223274695,-79.5740550744249
M9C,Woman,0,4,2,TRUE,TRUE,FALSE,43.64515223274695,-79.5740550744249
M9C,Woman,1,3,3,FALSE,TRUE,TRUE,43.64515223274695,-79.5740550744249
M9C,Woman,3,4,0,TRUE,TRUE,TRUE,43.64515223274695,-79.5740550744249
M9L,Woman,0,4,0,TRUE,TRUE,FALSE,43.75796708074534,-79.56021863354037
M9L,Woman,2,4,4,TRUE,FALSE,TRUE,43.75796708074534,-79.56021863354037
M9L,Man,2,4,5,TRUE,TRUE,TRUE,43.75796708074534,-79.56021863354037
